,acc_name,clean_name
593,Faecalicatena_fissicatena,faecalicatena_fissicatena
594,Ruminococcaceae_bacterium_R-25,ruminococcaceae_bacterium_r-25
595,Roseburia_intestinalis_L1-82,roseburia_intestinalis_l1-82
596,Clostridium_sp_Marseille-P3244,clostridium_sp_marseille-p3244
597,Peptostreptococcus_stomatis_DSM,peptostreptococcus_stomatis_dsm
598,Clostridium_sp_KNHs214,clostridium_sp_knhs214
599,Thermoanaerobacter_pseudethanolicus_ATCC,thermoanaerobacter_pseudethanolicus_atcc
600,Seinonella_peptonophila,seinonella_peptonophila
601,Paenibacillus_aquistagni,paenibacillus_aquistagni
602,Desulfohalotomaculum_alkaliphilum_DSM,desulfohalotomaculum_alkaliphilum_dsm
603,Catabacter_hongkongensis,catabacter_hongkongensis
604,Butyrivibrio_sp_MC2021,butyrivibrio_sp_mc2021
605,Desulfurispora_thermophila_DSM,desulfurispora_thermophila_dsm
606,Paenibacillus_naphthalenovorans,paenibacillus_naphthalenovorans
607,"Paenibacillus_sp_CF384,",paenibacillus_sp_cf384
608,Clostridium_neonatale,clostridium_neonatale
609,Paenibacillus_sp_Root444D2,paenibacillus_sp_root444d2
610,Alicyclobacillus_herbarius_DSM,alicyclobacillus_herbarius_dsm
611,Selenomonas_sp_oral,selenomonas_sp_oral
612,Paenibacillus_physcomitrellae,paenibacillus_physcomitrellae
613,Clostridium_estertheticum_subsp.,clostridium_estertheticum_subsp.
614,Butyrivibrio_fibrisolvens_DSM,butyrivibrio_fibrisolvens_dsm
615,Tindallia_californiensis,tindallia_californiensis
616,Paenibacillaceae_bacterium_GAS479,paenibacillaceae_bacterium_gas479
617,asparagiforme_DSM_15981,asparagiforme_dsm_15981
618,Paenibacillus_stellifer,paenibacillus_stellifer
619,Fervidicola_ferrireducens,fervidicola_ferrireducens
620,GCF_000403395.2_Anae_bact_G3_V1,anaerotruncus_sp_g3(2012)
621,"Anaerococcus_sp_Marseille-P3625,",anaerococcus_sp_marseille-p3625
622,Ruminococcaceae_bacterium,ruminococcaceae_bacterium
623,Fournierella_massiliensis,fournierella_massiliensis
624,Oribacterium_sp_oral,oribacterium_sp_oral
625,Clostridium_septicum,clostridium_septicum
626,Clostridium_hydrogeniformans_DSM,clostridium_hydrogeniformans_dsm
627,Oribacterium_sinus_F0268,oribacterium_sinus_f0268
628,Eubacteriaceae_bacterium_CHKCI004,eubacteriaceae_bacterium_chkci004
629,Shimazuella_kribbensis_DSM,shimazuella_kribbensis_dsm
630,Propionispora_vibrioides,propionispora_vibrioides
631,Lachnospiraceae_bacterium_NK4A144,lachnospiraceae_bacterium_nk4a144
632,Paenibacillus_massiliensis_2301065,paenibacillus_massiliensis_2301065
633,Eubacterium_xylanophilum_ATCC,eubacterium_xylanophilum_atcc
634,Faecalibacterium_prausnitzii,faecalibacterium_prausnitzii
635,Desulfotomaculum_ruminis_DSM,desulfotomaculum_ruminis_dsm
636,Clostridium_fallax,clostridium_fallax
637,Paenibacillus_barcinonensis,paenibacillus_barcinonensis
638,Peptoniphilus_pacaensis,peptoniphilus_pacaensis
639,Succiniclasticum_ruminis_DSM,succiniclasticum_ruminis_dsm
640,Aneurinibacillus_terranovensis_DSM,aneurinibacillus_terranovensis_dsm
641,Paenibacillus_sp_UNC451MF,paenibacillus_sp_unc451mf
642,Thermoanaerobacter_thermocopriae_JCM,thermoanaerobacter_thermocopriae_jcm
643,"Brevibacillus_sp_OK042,",brevibacillus_sp_ok042
644,Anaerocolumna_aminovalerica,anaerocolumna_aminovalerica
645,Heliobacterium_modesticaldum_Ice1,heliobacterium_modesticaldum_ice1
646,Paenibacillus_daejeonensis_DSM,paenibacillus_daejeonensis_dsm
647,"Clostridium_sp_CL-2,",clostridium_sp_cl-2
648,Acidaminobacter_hydrogenoformans_DSM,acidaminobacter_hydrogenoformans_dsm
649,Anaeromassilibacillus_senegalensis,anaeromassilibacillus_senegalensis
650,Clostridium_nigeriense,clostridium_nigeriense
651,Firmicutes_bacterium_ASF500,firmicutes_bacterium_asf500
652,Clostridium_jeddahense,clostridium_jeddahense
653,siraeum_DSM_15702,siraeum_dsm_15702
