,SUID,shared name,name,selected,EdgeCount,Indegree,Outdegree,activity,canonicalName,geneName,locus_tag.d6,sporulation,operon,Goe3_log2_fold_change,pDR110_log2_fold_change,sigF_log2_fold_change,sigG_log2_fold_change,SP10_log2_fold_change,ELDg168_log2_fold_change,ELDg169_log2_fold_change,infomap,betweenness,pagerank,novelProportion,priorProportion,0_GLay_cluster,node.shape,node.label
933,36031,BSU19630,BSU19630,False,1,1,0,target,BSU19630,deoD,A8O17_RS10215,0,deoD→ldcB,0.0,0.0,0.0,0.0,0.0,1.65882960758337,1.28551084389363,2,0.0,0.000325789762844033,,,,,
934,36030,BSU36760,BSU36760,False,2,2,0,target,BSU36760,murAA,A8O17_RS18015,0,spoIIT→murAA,0.0,0.0,0.0,0.0,0.0,0.0,-1.53499513059079,1,0.0,0.00036132345795199277,,,,,
935,36029,BSU09460,BSU09460,False,1,1,0,target,BSU09460,bcaP,A8O17_RS05080,0,bcaP,0.0,0.0,-1.70255176797199,-1.662114575,0.0,0.0,-2.50756189688024,2,0.0,0.00032261428168132295,,,,,
936,36028,BSU11840,BSU11840,False,2,2,0,target,BSU11840,yjcF,A8O17_RS06305,0,yjcH→yjcF,0.0,0.0,2.55324937397134,0.0,0.0,-0.7809483273096941,-0.4941228926126429,2,0.0,0.0003345705743156105,,,,,
937,36027,BSU30820,BSU30820,False,1,1,0,target,BSU30820,menD,A8O17_RS14790,0,menF→menC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.00034129321012975496,,,,,
938,36026,BSU31280,BSU31280,False,1,1,0,target,BSU31280,yugU,A8O17_RS15155,0,yugU->yuzH,0.0,0.0,-1.49795678933992,0.0,0.0,0.0,3.48516182660003,1,0.0,0.00032221784385012044,,,,,
939,36025,BSU03290,BSU03290,False,4,4,0,target,BSU03290,nasE,A8O17_RS01835,0,nasD→nasF,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3,0.0,0.00043074218262868986,,,,,
940,36024,BSU00870,BSU00870,False,2,2,0,target,BSU00870,radA,A8O17_RS00590,0,ctsR→disA,0.0,0.0,2.12264914232945,1.369913143,0.0,-0.790455387739749,1.11211336973093,1,0.0,0.0003404816048660682,,,,,
941,36023,BSU01030,BSU01030,False,2,2,0,target,BSU01030,rplA,A8O17_RS00675,0,rplK->rplL,0.0,0.0,0.0,0.0,0.0,0.0,-1.66197037217948,5,0.0,0.00033026880882816996,,,,,
942,36022,BSU19640,BSU19640,False,1,1,0,target,BSU19640,yodL,A8O17_RS10225,1,yodL,0.0,0.0,0.0,0.0,0.0,-1.20853855428133,-1.01039619660592,2,0.0,0.0003222302399572917,,,,,
